"id","name","cases","value"
001,Agramunt,6,9
002,Alcarràs,19,13.6
003,Alfarràs/Almenar,19,18.9
004,Amposta,22,7.9
005,Anglès,16,12.5
007,Aran,55,65.5
008,Arbúcies/Sant Hilari,41,31.2
009,Arenys de Mar,45,17.6
010,Argentona,44,26
011,Artés,17,14.4
012,Artesa de Segre,2,4.4
013,El Vendrell,57,12
014,Balaguer,126,38.9
015,Banyoles,71,22.2
016,Barcelona 1A - Barceloneta,24,15.6
017,Barcelona 1B - Casc Antic,40,19.9
018,Barcelona 1C - Gòtic,24,15.3
019,Barcelona 1D - Raval Sud,43,16.9
020,Barcelona 1E - Raval Nord-Dr. Sayé,38,17.2
021,Barcelona 2A - Sant Antoni,143,38.3
022,Barcelona 2B - Via Roma,122,37.2
023,Barcelona 2C- Esq.Eix.-Comte Borrell,143,39.4
024,Barcelona 2D - Universitat,71,33.9
025,Barcelona 2E - Esq.Eixample-Casanova,104,29.2
027,Barcelona 2G - Dreta Eixample,78,32.8
028,Barcelona 2H - Passeig Sant Joan,70,25
029,Barcelona 2I - Sagrada Família,83,36.3
030,Barcelona 2J - Monumental,89,29.8
031,Barcelona 2K - Sagrada Família,95,33.5
032,Barcelona 3A - Les Hortes-Poble Sec,57,25.1
033,Barcelona 3B - Poble Sec-Montjuïc,83,31.2
034,Barcelona 3C - Dr. Carles Riba,72,44.2
035,Barcelona 3D - Bordeta,130,38.3
036,Barcelona 3E - Sants,85,38.4
038,Barcelona 3G - Numància,71,28
039,Barcelona 4A - Montnegre,96,29.9
040,Barcelona4B - Les Corts-Pedralbes,51,22.1
041,Barcelona 4C - Les Corts-Helios,93,26.9
042,Barcelona 5A - Marc Aureli,64,21.2
043,Barcelona 5B - Sant Elies,78,21
044,Barcelona  5C - Sarrià,68,23.5
045,Barcelona 5D-Vallvidrera-Les Planes,49,24
046,Barcelona 5E - Sant Gervasi,79,21.4
047,Barcelona 6A - Joanic,129,39.8
048,Barcelona 6B - Vila de Gràcia,99,36.8
049,Barcelona 6C - Lesseps,77,32.2
050,Barcelona6D - Vallcarca,57,24.8
051,Barcelona 7A - Sanllehy,93,39
052,Barcelona 7B - Sardenya,84,36.7
053,Barcelona 7C - El Carmel,78,36.4
054,Barcelona  7D - Lisboa,144,47
055,Barcelona 7E - Sant Rafael,186,52.9
056,Barcelona 7F - Lisboa,128,54.2
059,Barcelona 8C - Turó de la Peira,124,46.3
062,Barcelona 8F - Guineueta,162,51.9
063,Barcelona 8G - Roquetes,107,65.3
064,Barcelona  8H - Ciutat Meridiana,60,41.4
065,Barcelona 9A - Sagrera,114,31.1
067,Barcelona 9C - Congrés,174,45.4
069,Barcelona 9E - Bon Pastor,58,39.6
070,Barcelona 9F - Via Barcino,61,63.6
071,Barcelona 10A - Vila Olímpica,79,21.5
072,Barcelona 10B - Ramon Turró,74,26.6
073,Barcelona 10C - Poble Nou,68,29
074,Barcelona 10D - Besòs,69,24.4
075,Barcelona 10E - Encants,75,37.9
