"name","negative","positive"
Aiguamúrcia,6,0
Alcover,6,0
Bràfim,4,0
Cabra del Camp,3,0
El Milà,1,0
El Pla de Santa Maria,1,1
El Pont d'Armentera,2,1
Els Garidells,1,0
Figuerola del Camp,3,0
Montferri,0,1
Nulles,2,0
Puigpelat,2,0
Rodonyà,0,2
Vallmoll,4,1
Valls,87,27
Vilabella,0,1
Vila-Rodona,2,1
Agullana,0,1
Avinyonet de Puigventós,2,2
Bàscara,1,0
Borrassà,1,1
Cabanelles,1,0
Cabanes,1,0
Cadaqués,3,4
Capmany,0,7
Castelló d'Empúries,14,4
Colera,1,0
El Far d'Empordà,1,1
El Port de la Selva,0,1
Espolla,1,0
Figueres,85,37
Fortià,1,0
Garriguella,1,0
La Jonquera,4,1
L'Armentera,3,2
L'Escala,15,6
Lladó,4,1
Llançà,5,3
Llers,3,1
Maçanet de Cabrenys,2,0
Navata,3,2
Ordis,1,1
Palau-Saverdera,4,2
Pau,1,0
Peralada,4,1
Pont de Molins,1,0
Rabós,1,1
Roses,22,5
Sant Climent Sescebes,2,1
Sant Miquel de Fluvià,0,3
Sant Pere Pescador,0,3
Saus Camallera i Llampaies,1,3
Torroella de Fluvià,1,0
Ventalló,4,0
Vilabertran,1,0
Vilafant,15,8
Vilajuïga,3,1
Vilamalla,5,1
Vilamaniscle,1,0
Vilanant,2,0
Vila-Sacra,2,1
Vilaür,1,0
Avinyonet del Penedès,3,5
Castellet i la Gornal,4,2
Castellví de la Marca,1,0
El Pla del Penedès,2,0
Font-Rubí,4,2
Gelida,9,3
La Granada,5,2
Les Cabanyes,3,0
Mediona,8,8
Olèrdola,12,1
Olesa de Bonesvalls,7,0
Pacs del Penedès,1,1
Puigdàlber,3,0
Sant Cugat Sesgarrigues,0,2
Sant Llorenç d'Hortons,5,3
Sant Martí Sarroca,7,3
Sant Pere de Riudebitlles,4,1
Sant Quintí de Mediona,6,2
Sant Sadurní d'Anoia,22,14
Santa Fe del Penedès,2,0
Santa Margarida i els Monjos,11,7
Subirats,9,3
Torrelavit,5,3
Torrelles de Foix,1,2
Vilafranca del Penedès,103,33
Vilobí del Penedès,1,1
Alàs i Cerc,1,0
Bassella,1,1
La Seu d'Urgell,25,20
Montferrer i Castellbò,0,3
Oliana,6,7
Organyà,3,0
Ribera d'Urgellet,1,1
El Pont de Suert,2,3
La Vall de Boí,1,1
Vilaller,0,1
Argençola,1,0
Cabrera d'Anoia,3,3
Calaf,7,10
Calonge de Segarra,0,1
Capellades,15,39
Carme,6,4
Castellfollit de Riubregós,0,1
Castellolí,8,4
Copons,2,0
El Bruc,8,2
Els Hostalets de Pierola,12,15
Els Prats de Rei,0,2
Igualada,404,259
Jorba,8,5
La Llacuna,4,4
La Pobla de Claramunt,18,12
La Torre de Claramunt,14,22
Masquefa,21,13
Montmaneu,2,1
Òdena,21,15
Orpí,0,1
Piera,57,46
Sant Martí de Tous,10,4
Sant Martí Sesgueioles,1,1
Santa Margarida de Montbui,65,67
Santa Maria de Miralles,0,1
Vallbona d'Anoia,10,6
Veciana,1,0
Vilanova del Camí,70,74
Bossòst,4,9
Es Bòrdes,1,0
Les,2,0
Naut Aran,2,1
Vielha e Mijaran,17,39
Vilamòs,0,1
Artés,4,5
Avinyó,4,2
Balsareny,5,5
Callús,7,2
Cardona,11,13
Castellbell i el Vilar,4,1
Castellgalí,5,5
Castellnou de Bages,2,0
El Pont de Vilomara i Rocafort,2,7
Fonollosa,1,2
Manresa,140,135
Marganell,1,0
Monistrol de Montserrat,9,1
Navarcles,9,14
Navàs,9,14
Rajadell,0,1
Sallent,8,13
Sant Feliu Sasserra,1,0
Sant Fruitós de Bages,13,14
Sant Joan de Vilatorrada,15,28
Sant Mateu de Bages,2,0
Sant Salvador de Guardiola,7,2
Sant Vicenç de Castellet,13,11
Santpedor,16,12
Súria,14,10
Alforja,6,0
Almoster,5,2
Botarell,3,1
Cambrils,84,13
Castellvell del Camp,7,0
Colldejou,1,0
Duesaigües,0,1
La Selva del Camp,15,1
l'Albiol,2,0
L'Aleixar,4,0
Les Borges del Camp,4,0
Maspujols,2,0
Montbrió del Camp,6,1
Mont-Roig del Camp,13,4
Prades,1,0
Pratdip,1,0
Reus,268,44
Riudecanyes,2,0
Riudoms,13,2
Vandellòs i l'Hospitalet de l'Infant,10,2
Vilanova d'Escornalbou,1,0
Vilaplana,1,1
Vinyols i  els Arcs,3,0
Aldover,2,1
Benifallet,2,1
Camarles,3,2
Deltebre,22,2
El Perelló,3,0
l'Aldea,8,1
L'Ametlla de Mar,12,1
L'Ampolla,3,4
Roquetes,24,4
Tivenys,1,0
Tortosa,118,36
Xerta,5,1
Albons,1,1
Begur,5,1
Bellcaire d'Empordà,0,1
Calonge i Sant Antoni,20,5
Castell-Platja d'Aro,13,4
Corçà,0,1
Cruïlles Monells i Sant Sadurní de l'Heura,3,0
La Bisbal d'Empordà,15,4
La Pera,3,0
Mont-Ras,4,1
Palafrugell,32,23
Palamós,63,38
Palau-Sator,0,1
Pals,5,0
Sant Feliu de Guíxols,35,18
Santa Cristina d'Aro,6,5
Torrent,1,1
Torroella de Montgrí,12,2
Ullà,1,0
Vall-Llobrega,0,1
Vilopriu,0,1
Abrera,22,10
Begues,18,19
Castelldefels,208,124
Catellví de Rosanes,1,5
Cervelló,22,12
Collbató,13,6
Corbera de Llobregat,22,35
Cornellà de Llobregat,220,121
El Papiol,9,3
El Prat de Llobregat,239,317
Esparreguera,40,21
Esplugues de Llobregat,132,57
Gavà,163,174
La Palma de Cervelló,3,0
Martorell,65,53
Molins de Rei,52,23
Olesa de Montserrat,47,65
Pallejà,24,25
Sant Andreu de la Barca,43,45
Sant Boi de Llobregat,270,237
Sant Climent de Llobregat,14,19
Sant Esteve Sesrovires,24,9
Sant Feliu de Llobregat,103,45
Sant Joan Despí,105,34
Sant Just Desvern,53,29
Sant Vicenç dels Horts,80,57
Santa Coloma de Cervelló,27,32
Torrelles de Llobregat,15,6
Vallirana,26,17
Viladecans,263,353
Albinyana,3,5
Banyeres del Penedès,4,5
Bellvei,4,0
Calafell,34,18
Cunit,36,17
El Montmell,3,0
El Vendrell,50,33
La Bisbal del Penedès,1,4
L'Arboç,3,4
Llorenç del Penedès,3,1
Sant Jaume dels Domenys,0,2
Santa Oliva,1,6
Badalona,886,826
Barcelona,6259,5355
L'Hospitalet de Llobregat,816,858
Sant Adrià del Besòs,130,124
Santa Coloma de Gramenet,415,393
Avià,1,6
Bagà,9,5
Berga,33,39
Borredà,3,0
Casserres,3,2
Castellar de N'Hug,1,0
Cercs,1,4
Gironella,12,5
Guardiola de Berguedà,0,3
Montmajor,0,1
Puig-Reig,11,4
Saldes,0,1
Sant Julià de Cerdanyola,1,0
Alp,3,1
Bellver de Cerdanya,1,3
Ger,0,1
Guils de Cerdanya,0,1
Isòvol,1,0
Lles de Cerdanya,0,1
Mortellà i Martinet,2,0
Puigcerdà,11,10
L'Espluga de Francolí,4,4
Montblanc,10,5
Pira,2,1
Rocafort de Queralt,1,0
Santa Coloma de Queralt,4,6
Sarral,3,1
Solivella,0,2
Vallfogona de Riucorb,0,1
Vilanova de Prades,1,0
Vimbodí i Poblet,2,0
Canyelles,16,8
Cubelles,25,17
Olivella,3,1
