"name","negative","positive"
Aiguamúrcia,5,0
Alcover,5,0
Bràfim,2,0
Cabra del Camp,2,0
El Milà,1,0
El Pla de Santa Maria,1,1
El Pont d'Armentera,1,0
Els Garidells,1,0
Figuerola del Camp,3,0
Montferri,0,1
Nulles,2,0
Puigpelat,2,0
Rodonyà,0,1
Vallmoll,2,1
Valls,49,21
Vilabella,0,1
Vila-Rodona,1,0
Avinyonet de Puigventós,1,0
Bàscara,1,0
Borrassà,0,1
Cabanelles,1,0
Cadaqués,1,2
Castelló d'Empúries,4,2
El Far d'Empordà,0,1
El Port de la Selva,0,1
Figueres,26,6
Fortià,1,0
La Jonquera,1,0
L'Armentera,3,0
L'Escala,9,1
Llançà,0,1
Llers,1,0
Navata,2,1
Palau-Saverdera,3,0
Peralada,1,0
Rabós,1,0
Roses,4,1
Sant Climent Sescebes,0,1
Saus Camallera i Llampaies,0,3
Ventalló,4,0
Vilafant,2,1
Vilamalla,2,1
Vilanant,1,0
Vilaür,1,0
Avinyonet del Penedès,3,3
Castellet i la Gornal,1,1
Castellví de la Marca,1,0
El Pla del Penedès,1,0
Font-Rubí,2,2
Gelida,7,4
La Granada,3,1
Les Cabanyes,2,0
Mediona,7,8
Olèrdola,7,2
Olesa de Bonesvalls,6,0
Pacs del Penedès,1,1
Puigdàlber,2,0
Sant Cugat Sesgarrigues,0,2
Sant Llorenç d'Hortons,2,2
Sant Martí Sarroca,5,1
Sant Pere de Riudebitlles,4,1
Sant Quintí de Mediona,5,2
Sant Sadurní d'Anoia,17,11
Santa Margarida i els Monjos,6,6
Subirats,6,2
Torrelavit,5,2
Torrelles de Foix,1,0
Vilafranca del Penedès,70,25
Vilobí del Penedès,1,1
Alàs i Cerc,1,0
Bassella,1,0
La Seu d'Urgell,20,15
Montferrer i Castellbò,0,3
Oliana,6,7
Organyà,3,0
Ribera d'Urgellet,1,1
El Pont de Suert,1,2
La Vall de Boí,1,1
Vilaller,0,1
Argençola,1,0
Cabrera d'Anoia,1,3
Calaf,7,10
Calonge de Segarra,0,1
Capellades,13,37
Carme,6,4
Castellfollit de Riubregós,0,1
Castellolí,7,5
Copons,2,0
El Bruc,8,2
Els Hostalets de Pierola,8,14
Els Prats de Rei,0,2
Igualada,355,246
Jorba,8,5
La Llacuna,4,4
La Pobla de Claramunt,17,12
La Torre de Claramunt,8,20
Masquefa,16,12
Montmaneu,2,1
Òdena,21,13
Orpí,0,1
Piera,48,46
Sant Martí de Tous,10,4
Sant Martí Sesgueioles,1,1
Santa Margarida de Montbui,57,69
Santa Maria de Miralles,0,1
Vallbona d'Anoia,8,6
Veciana,1,0
Vilanova del Camí,62,67
Bossòst,2,5
Es Bòrdes,1,0
Les,2,0
Naut Aran,2,1
Vielha e Mijaran,8,29
Vilamòs,0,1
Artés,3,3
Avinyó,3,2
Balsareny,2,1
Callús,4,2
Cardona,10,6
Castellgalí,5,5
Castellnou de Bages,2,0
El Pont de Vilomara i Rocafort,2,6
Fonollosa,1,2
Manresa,106,109
Monistrol de Montserrat,6,1
Navarcles,6,9
Navàs,7,11
Rajadell,0,1
Sallent,4,10
Sant Feliu Sasserra,1,0
Sant Fruitós de Bages,9,10
Sant Joan de Vilatorrada,11,24
Sant Salvador de Guardiola,6,2
Sant Vicenç de Castellet,7,6
Santpedor,10,10
Súria,11,7
Alforja,5,0
Almoster,3,1
Botarell,2,2
Cambrils,70,11
Castellvell del Camp,6,0
Colldejou,1,0
Duesaigües,0,1
La Selva del Camp,15,1
l'Albiol,2,0
L'Aleixar,2,2
Les Borges del Camp,4,0
Maspujols,1,0
Montbrió del Camp,5,1
Mont-Roig del Camp,12,1
Prades,1,0
Pratdip,1,0
Reus,218,44
Riudecanyes,2,0
Riudoms,11,3
Vandellòs i l'Hospitalet de l'Infant,9,1
Vilanova d'Escornalbou,1,0
Vilaplana,1,1
Vinyols i  els Arcs,2,0
Aldover,2,0
Benifallet,2,1
Camarles,3,2
Deltebre,18,2
El Perelló,3,0
l'Aldea,7,1
L'Ametlla de Mar,8,0
L'Ampolla,3,2
Roquetes,18,2
Tortosa,109,29
Xerta,4,1
Calonge i Sant Antoni,5,0
Castell-Platja d'Aro,3,3
Cruïlles Monells i Sant Sadurní de l'Heura,2,0
La Bisbal d'Empordà,4,1
La Pera,3,0
Mont-Ras,1,0
Palafrugell,6,1
Palamós,12,4
Pals,1,0
Sant Feliu de Guíxols,14,4
Santa Cristina d'Aro,2,1
Torroella de Montgrí,7,0
Abrera,18,9
Begues,17,15
Castelldefels,172,118
Catellví de Rosanes,1,4
Cervelló,19,10
Collbató,12,7
Corbera de Llobregat,18,29
Cornellà de Llobregat,176,102
El Papiol,8,3
El Prat de Llobregat,203,287
