"min","max","positive","negative"
0,9,516,50
10,19,413,133
20,29,2840,1113
30,39,4014,1785
40,49,4434,2799
50,59,3780,3259
60,69,2211,2960
70,79,1915,3304
80,89,1967,2481
NaN,NaN,611,611
