id;name;value;cases
204;Sant Boi De Llobregat 3;39.7;4
205;Sant Boi De Llobregat 4;118.8;17
206;Sant Carles De La Ràpita;13.9;3
207;Sant Celoni;113.4;32
208;Sant Feliu De Guíxols;24.2;7
209;Sant Feliu De Llobregat 1;39.1;6
210;Sant Feliu De Llobregat 2;136.3;27
211;Navarcles - Sant Fruitós De Bages;132.3;27
212;Sant Hipòlit De Voltregà;270.5;19
213;Sant Joan Despí 1;79;13
214;Sant Joan Despí 2;125;13
215;Sant Joan De Vilatorrada;220.2;27
216;Sant Just Desvern;145.9;23
217;Sant Quirze De Besora;157;9
218;Sant Sadurní D'Anoia;118.8;22
219;Sant Vicenç De Castellet;130.3;16
221;Santa Coloma De Farners;150.4;27
222;Santa Coloma De Gramenet 1;167.7;30
223;Santa Coloma De Gramenet 2;261.8;30
224;Santa Coloma De Gramenet 3;253.2;52
225;Santa Coloma De Gramenet 4;215;44
226;Santa Coloma De Gramenet 5;194.5;30
228;Santa Coloma De Queralt;79.2;6
229;Santa Margarida De Montbui;932.2;61
230;Santa Perpètua De La Mogoda;392.7;59
231;Sarrià De Ter;192.5;23
232;Seròs;81.7;8
233;La Seu D'Urgell;112.5;17
234;Sils/Vidreres/Maçanet De La Selva;61.6;16
235;Sitges;110.5;24
236;El Solsonès;39.9;4
237;Súria;95.2;8
238;Santa Eugènia De Berga;239;38
239;Tarragona 1;50.7;3
240;Tarragona 2;44.5;8
241;Tarragona 3;46.3;12
242;Tarragona 4;49.3;5
243;Tarragona 5;32.6;3
244;Tarragona 6;49.3;8
245;Tàrrega;153.2;44
246;Terra Alta;8.2;1
247;Terrassa A;220.7;91
248;Terrassa B;338.8;52
249;Terrassa C;97.5;8
250;Terrassa D;166;42
251;Terrassa E;182.6;101
252;Terrassa F;227.1;74
253;Tona;89.9;14
254;Vall Del Ges;127.8;21
255;Tortosa 1 - Est;83;17
256;Tortosa 2 - Oest;60.4;12
257;Torredembarra;47.9;16
258;Torroella De Montgrí;NaN;0
259;Tremp;59.8;6
260;Ulldecona;19.8;2
261;Vallirana;96.4;19
262;Alt Camp Est;35.1;4
263;Valls Urbà;72.3;20
265;Viladecans 1;468.4;76
266;Viladecans 2;573;99
267;Vilafant;33.8;4
269;Vilanova Del Camí;590.4;59
271;Vilassar De Mar;124.1;26
272;Badalona 1;265.2;35
273;Badalona 2;232;39
274;Badalona 3;354.3;61
275;Badalona 4;294.8;32
276;Badalona 5;350.9;43
277;Badalona 6;351;68
279;Badalona 8;332.8;36
280;Badalona 9;597.8;59
281;Badalona 10;359.9;27
282;Badalona 11;386.1;64
283;Badalona 12;587.3;52
284;Granollers 1 -Oest;209.7;25
285;Granollers 2 - Nord;158;34
286;Granollers 3 - Centre Est;161.8;42
287;Granollers 4 - Sud;270.2;34
288;L'Hospitalet De Llobregat 1 - Centre;316.4;81
289;L'Hospitalet De Llobregat 2 -S.Josep;414.1;77
290;L'Hospitalet De Llobregat 3 - Collblanc;118;25
291;L'Hospitalet De Llobregat 4 Torrassa;183.1;35
292;L'Hospitalet De Llobregat 5-S.Eulàlia N.;467;78
293;L'Hospitalet De Llobregat 6-S.Eulàlia S.;508.6;90
294;L'Hospitalet De Llobregat 7-Florida N.;167.9;27
295;L'Hospitalet De Llobregat 8-Florida S.;115.4;22
296;L'Hospitalet De Llobregat 9-Pubilla C.;128.3;27
297;L'Hospitalet De Llobregat 10 - C.Serra;318.6;27
298;L'Hospitalet De Llobregat 11 - Gornal;342.8;18
299;L'Hospitalet De Llobregat 12 (Bellvitge);384.6;77
300;La Llagosta;321.1;28
303;Reus 1;38.7;4
304;Reus 2;45.2;10
305;Reus 3;64.7;13
306;Reus 4;44.5;6
307;Reus 5;40.5;7
309;Rubí 1;124.2;26
310;Rubí 2;186.6;52
311;Sant Adrià Del Besòs 1;398.1;79
312;Sant Adrià Del Besòs 2;224.6;22
314;Baix Penedès - Interior;77.2;11
315;Vall Del Tenes;185.2;54
316;Vilanova I La Geltrú 1;226.5;40
317;Vilanova I La Geltrú 2;118.4;25
319;Montgat;309.7;49
320;Barberà Del Vallès;260;61
322;Ciutat Badia;270.1;31
324;Vandellòs I L'Hospitalet De L'Infant;NaN;0
325;Pineda;64.1;15
326;Barcelona 7-G;362.4;119
327;Barcelona 8-I;389.4;68
328;L'Aldea - Camarles - L'Ampolla;49.1;5
329;Lleida Rural 2-Sud;146.5;11
330;Breda - Hostalric;99.9;14
331;Barcelona 10-J;185.8;45
333;Alt Camp Oest;NaN;0
334;Almacelles;11.2;2
335;Sant Andreu De Llavaneres;189.4;28
336;Tordera;27.6;4
337;Capellades;494.5;61
338;Piera;339.2;58
339;Salou;38;6
340;Vila-Seca;20.9;2
341;Badalona 7A;502.1;66
342;Badalona 7B;354.1;42
