"name","negative","positive"
Sant Boi de Llobregat,468,496
Sant Climent de Llobregat,28,25
Sant Esteve Sesrovires,53,52
Sant Feliu de Llobregat,186,108
Sant Joan Despí,176,90
Sant Just Desvern,82,69
Sant Vicenç dels Horts,137,104
Santa Coloma de Cervelló,49,37
Torrelles de Llobregat,29,9
Vallirana,55,42
Viladecans,494,439
Albinyana,4,9
Banyeres del Penedès,4,11
Bellvei,4,3
Calafell,46,50
Cunit,59,36
El Montmell,5,0
El Vendrell,61,96
La Bisbal del Penedès,3,10
L'Arboç,8,21
Llorenç del Penedès,5,10
Masllorenç,0,1
Sant Jaume dels Domenys,3,4
Santa Oliva,5,11
Badalona,1508,1100
Barcelona,9490,7305
L'Hospitalet de Llobregat,1364,1413
Sant Adrià del Besòs,215,186
Santa Coloma de Gramenet,763,677
Avià,3,12
Bagà,18,20
Berga,56,76
Borredà,4,0
Casserres,5,2
Castellar de N'Hug,1,0
Cercs,2,6
Gironella,20,14
Guardiola de Berguedà,2,5
La Nou de Berguedà,1,0
La Pobla de Lillet,2,1
Montclar,1,0
Montmajor,0,1
Olvan,1,3
Puig-Reig,21,7
Saldes,0,1
Sant Julià de Cerdanyola,4,0
Vilada,1,0
Alp,3,3
Bellver de Cerdanya,4,3
Fontanals de Cerdanya,0,1
Ger,0,1
Guils de Cerdanya,0,1
Isòvol,2,0
Lles de Cerdanya,0,1
Llívia,3,1
Mortellà i Martinet,3,0
Puigcerdà,30,20
Urús,1,0
Barberà de la Conca,0,1
L'Espluga de Francolí,8,5
Montblanc,18,12
Pira,2,1
Rocafort de Queralt,2,0
Santa Coloma de Queralt,19,8
Sarral,3,4
Solivella,1,3
Vallfogona de Riucorb,0,1
Vilanova de Prades,1,0
Vilaverd,1,0
Vimbodí i Poblet,5,0
Canyelles,21,7
Cubelles,47,24
Olivella,7,1
Sant Pere de Ribes,115,62
Sitges,113,57
Vilanova i la Geltrú,295,164
Arbeca,4,3
Bellaguarda,1,7
Bovera,1,0
Castelldans,4,0
Cervià de les Garrigues,3,2
El Cogul,1,1
El Vilosell,1,3
Els Omellons,0,1
Fulleda,1,0
Juncosa,3,0
Juneda,20,15
La Floresta,1,0
La Granadella,4,2
La Pobla de Cérvoles,1,0
l'Albagés,3,0
Les Borges Blanques,14,7
L'Espluga Calba,0,1
Puiggròs,1,1
Vinaixa,1,1
Besalú,8,6
Castellfollit de la Roca,1,2
La Vall de Bianya,8,4
La Vall d'En Bas,12,7
Les Planes d'Hostoles,2,6
Les Preses,5,11
Maià de Montcal,1,2
Mieres,4,0
Montagut i Oix,1,2
Olot,131,158
Riudaura,2,2
Sant Feliu de Pallerols,5,2
Sant Ferriol,0,1
Sant Jaume de Llierca,3,5
Sant Joan Les Fonts,22,13
Santa Pau,3,2
Tortellà,2,3
Aiguaviva,1,4
Bescanó,18,18
Bordils,4,4
Campllong,1,1
Canet d'Adri,4,1
Cassà de la Selva,35,29
Celrà,23,12
Cervià de Ter,6,4
Flaçà,2,2
Fornells de la Selva,13,11
Girona,586,415
Juià,1,0
Llagostera,35,20
Llambilles,2,2
Madremanya,1,0
Quart,18,6
Salt,141,106
Sant Andreu Salou,1,0
Sant Gregori,29,20
Sant Joan de Mollet,0,1
Sant Jordi Desvalls,3,3
Sant Julià de Ramis,17,13
Sant Martí de Llémena,6,0
Sant Martí Vell,1,0
Sarrià de Ter,22,20
Vilablareix,14,12
Alella,50,44
Arenys de Mar,85,67
Arenys de Munt,48,28
Argentona,49,43
Cabrera de Mar,18,11
Cabrils,41,18
Caldes d'Estrac,32,8
Calella,100,38
Canet de Mar,91,28
Dosrius,27,12
El Masnou,133,72
Malgrat de Mar,74,49
Mataró,653,333
Montgat,86,42
Palafolls,30,11
Pineda de Mar,116,33
Premià de Dalt,42,32
Premià de Mar,124,96
Sant Andreu de Llavaneres,58,39
Sant Cebrià de Vallalta,8,1
Sant Iscle de Vallalta,4,2
Sant Pol de Mar,22,13
Sant Vicenç de Montalt,31,11
Santa Susanna,12,8
Teià,58,12
Tiana,57,41
Tordera,54,21
Vilassar de Dalt,38,20
Vilassar de Mar,93,60
Calders,6,5
Castellcir,1,1
Castellterçol,11,3
Collsuspina,1,1
L'Estany,2,0
Moià,23,16
Monistrol de Calders,0,3
Sant Quirze  Safaja,2,0
Santa Maria d'Oló,3,1
Alcanar,20,3
Amposta,53,18
Freginals,0,1
Godall,2,0
La Galera,1,0
La Sénia,9,1
Mas de Barberans,2,0
Masdenverge,1,0
Sant Carles de la Ràpita,36,5
Sant Jaume d'Enveja,9,0
Santa Bàrbara,7,4
Ulldecona,11,2
Àger,10,34
Albesa,3,2
Algerri,2,0
Alòs de Balaguer,1,0
Artesa de Segre,8,3
Balaguer,74,83
Bellcaire d'Urgell,3,2
Camarasa,2,7
Castelló de Farfanya,1,1
Cubells,2,0
Ivars de Noguera,2,1
La Baronia de Rialb,0,1
La Sentiu de Sió,3,2
Les Avellanes i Santa Linya,2,1
Montgai,0,2
Os de Balaguer,4,1
Penelles,4,0
Ponts,7,4
Térmens,3,2
Torrelameu,1,1
Vallfogona de Balaguer,6,2
Vilanova de Meià,1,0
Balenyà,20,42
Calldetenes,12,25
Centelles,37,18
El Brull,2,1
Espinelves,1,0
Folgueroles,12,1
Gurb,14,12
Les Masies de Roda,0,3
Les Masies de Voltregà,11,12
L'Esquirol,18,13
Lluçà,2,0
Malla,1,0
Manlleu,79,112
