"name","negative","positive"
Alcover,0,0
Aiguamúrcia,5,1
Alcover,10,1
Alió,2,0
Bràfim,4,2
Cabra del Camp,6,0
El Milà,1,0
El Pla de Santa Maria,5,3
El Pont d'Armentera,2,1
Els Garidells,1,0
Figuerola del Camp,4,0
La Masó,1,1
Montferri,0,1
Mont-Ral,0,1
Nulles,2,0
Puigpelat,2,0
Rodonyà,0,3
Vallmoll,4,2
Valls,117,41
Vilabella,3,4
Vila-Rodona,3,2
Agullana,0,2
Avinyonet de Puigventós,8,3
Bàscara,1,0
Biure,2,0
Borrassà,2,3
Cabanelles,1,0
Cabanes,2,0
Cadaqués,7,5
Capmany,3,7
Castelló d'Empúries,20,12
Cistella,2,1
Colera,1,0
Darnius,2,0
El Far d'Empordà,2,3
El Port de la Selva,1,1
Espolla,1,0
Figueres,208,78
Fortià,3,0
Garriguella,2,1
La Jonquera,7,4
L'Armentera,2,4
L'Escala,19,10
Lladó,7,2
Llançà,14,4
Llers,5,2
Maçanet de Cabrenys,3,1
Masarac,0,2
Navata,8,1
Ordis,2,1
Palau-Saverdera,7,3
Pau,1,0
Peralada,7,1
Pont de Molins,2,0
Pontós,1,0
Portbou,0,1
Rabós,1,1
Riumors,2,0
Roses,36,15
Sant Climent Sescebes,3,3
Sant Miquel de Fluvià,3,3
Sant Pere Pescador,1,5
Santa Llogaia d'Àlguema,2,0
Saus Camallera i Llampaies,1,3
Siurana,2,0
Terrades,1,8
Torroella de Fluvià,2,0
Ventalló,6,0
Vilabertran,2,1
Vilafant,25,14
Vilajuïga,5,3
Vilamalla,8,0
Vilamaniscle,1,0
Vilanant,2,1
Vila-Sacra,2,2
Vilaür,1,1
Avinyonet del Penedès,6,6
Castellet i la Gornal,6,3
Castellví de la Marca,3,0
El Pla del Penedès,5,0
Font-Rubí,7,5
Gelida,23,17
La Granada,11,8
Les Cabanyes,6,2
Mediona,13,15
Olèrdola,15,0
Olesa de Bonesvalls,9,1
Pacs del Penedès,3,2
Puigdàlber,3,2
Sant Cugat Sesgarrigues,0,3
Sant Llorenç d'Hortons,9,9
Sant Martí Sarroca,15,4
Sant Pere de Riudebitlles,6,3
Sant Quintí de Mediona,8,5
Sant Sadurní d'Anoia,34,21
Santa Fe del Penedès,2,0
Santa Margarida i els Monjos,19,15
Subirats,14,5
Torrelavit,6,4
Torrelles de Foix,4,5
Vilafranca del Penedès,163,114
Vilobí del Penedès,1,2
Alàs i Cerc,1,0
Bassella,1,1
Cabó,0,1
La Seu d'Urgell,30,27
Montferrer i Castellbò,1,2
Oliana,8,8
Organyà,3,1
Ribera d'Urgellet,3,1
El Pont de Suert,3,3
La Vall de Boí,1,1
Vilaller,0,1
Argençola,3,0
Cabrera d'Anoia,6,4
Calaf,16,10
Calonge de Segarra,0,1
Capellades,21,41
Carme,7,6
Castellfollit de Riubregós,0,2
Castellolí,9,4
Copons,4,1
El Bruc,9,6
Els Hostalets de Pierola,23,12
Els Prats de Rei,1,1
Igualada,659,297
Jorba,10,5
La Llacuna,8,3
La Pobla de Claramunt,28,11
La Torre de Claramunt,19,24
Masquefa,34,17
Montmaneu,2,1
Òdena,34,18
Orpí,0,1
Piera,92,64
Sant Martí de Tous,22,4
Sant Martí Sesgueioles,1,1
Santa Margarida de Montbui,117,77
Santa Maria de Miralles,1,1
Vallbona d'Anoia,13,8
Veciana,1,0
Vilanova del Camí,128,86
Bossòst,7,13
Es Bòrdes,1,0
Les,3,1
Naut Aran,2,2
Vielha e Mijaran,35,43
Vilamòs,0,1
Aguilar de Segarra,1,1
Artés,16,15
Avinyó,10,1
Balsareny,10,8
Callús,12,3
Cardona,23,41
Castellbell i el Vilar,4,6
Castellfollit del Boix,2,0
Castellgalí,9,9
Castellnou de Bages,4,0
El Pont de Vilomara i Rocafort,5,15
Fonollosa,5,4
Manresa,347,233
Marganell,2,0
Monistrol de Montserrat,15,4
Mura,1,0
Navarcles,26,27
Navàs,19,29
Rajadell,0,1
Sallent,18,22
Sant Feliu Sasserra,2,0
Sant Fruitós de Bages,35,47
Sant Joan de Vilatorrada,38,58
Sant Mateu de Bages,4,1
Sant Salvador de Guardiola,14,7
Sant Vicenç de Castellet,31,15
Santpedor,37,22
Súria,21,15
Alforja,6,4
Almoster,5,4
Arbolí,0,1
Botarell,2,2
Cambrils,91,54
Castellvell del Camp,8,2
Colldejou,1,0
Duesaigües,0,1
La Selva del Camp,14,7
l'Albiol,3,1
L'Aleixar,3,4
Les Borges del Camp,7,0
Maspujols,2,0
Montbrió del Camp,7,4
Mont-Roig del Camp,13,15
Prades,2,1
Pratdip,2,0
Reus,304,212
Riudecanyes,1,1
Riudoms,14,7
Vandellòs i l'Hospitalet de l'Infant,12,8
Vilanova d'Escornalbou,0,2
Vilaplana,1,3
Vinyols i  els Arcs,4,2
Aldover,2,1
Benifallet,3,0
Camarles,4,2
Deltebre,35,2
El Perelló,4,0
l'Aldea,9,1
L'Ametlla de Mar,13,3
L'Ampolla,4,4
Roquetes,33,6
Tivenys,1,0
Tortosa,160,42
Xerta,6,1
Albons,1,1
Begur,11,1
Bellcaire d'Empordà,0,1
Calonge i Sant Antoni,58,14
Castell-Platja d'Aro,22,9
Corçà,3,1
Cruïlles Monells i Sant Sadurní de l'Heura,2,1
Jafre,1,0
La Bisbal d'Empordà,42,7
La Pera,4,0
La Tallada d'Empordà,1,0
Mont-Ras,8,4
Palafrugell,105,85
Palamós,147,51
Palau-Sator,0,2
Pals,8,0
Parlavà,2,1
Regencós,0,1
Rupià,1,1
Sant Feliu de Guíxols,67,29
Santa Cristina d'Aro,14,7
Torrent,1,1
Torroella de Montgrí,30,5
Ullà,5,1
Ullastret,1,1
Vall-Llobrega,3,2
Verges,4,1
Vilopriu,0,1
Abrera,46,37
Begues,24,19
Castelldefels,280,163
Catellví de Rosanes,1,6
Cervelló,33,19
Collbató,26,10
Corbera de Llobregat,50,46
Cornellà de Llobregat,367,197
El Papiol,11,7
El Prat de Llobregat,357,396
Esparreguera,51,48
Esplugues de Llobregat,195,114
Gavà,228,262
La Palma de Cervelló,4,0
Martorell,113,105
Molins de Rei,81,38
Olesa de Montserrat,74,102
Pallejà,46,39
Sant Andreu de la Barca,86,78
Sant Boi de Llobregat,432,455
Sant Climent de Llobregat,27,24
Sant Esteve Sesrovires,47,51
Sant Feliu de Llobregat,171,81
Sant Joan Despí,169,67
Sant Just Desvern,80,62
Sant Vicenç dels Horts,127,97
Santa Coloma de Cervelló,42,39
Torrelles de Llobregat,27,9
Vallirana,49,34
Viladecans,440,426
Albinyana,4,8
Banyeres del Penedès,4,10
Bellvei,3,3
Calafell,43,43
Cunit,57,30
El Montmell,5,0
El Vendrell,56,80
La Bisbal del Penedès,2,9
L'Arboç,5,19
Llorenç del Penedès,4,7
Masllorenç,0,1
Sant Jaume dels Domenys,2,4
Santa Oliva,2,6
Badalona,1355,1069
Barcelona,8754,6988
L'Hospitalet de Llobregat,1269,1254
Sant Adrià del Besòs,186,158
Santa Coloma de Gramenet,708,647
Avià,1,11
Bagà,17,15
Berga,43,71
Borredà,3,0
Casserres,3,2
Castellar de N'Hug,1,0
Cercs,1,7
Gironella,19,13
Guardiola de Berguedà,1,4
La Nou de Berguedà,1,0
La Pobla de Lillet,2,1
Montclar,0,1
Montmajor,0,1
Olvan,1,2
Puig-Reig,16,7
Saldes,0,1
Sant Julià de Cerdanyola,3,0
Alp,3,3
Bellver de Cerdanya,4,3
Fontanals de Cerdanya,0,1
Ger,0,1
Guils de Cerdanya,0,1
Isòvol,1,0
Lles de Cerdanya,0,1
Llívia,3,1
Mortellà i Martinet,2,0
Puigcerdà,24,18
Urús,1,0
L'Espluga de Francolí,7,4
Montblanc,16,11
Pira,2,1
Rocafort de Queralt,2,0
Santa Coloma de Queralt,18,8
Sarral,3,3
Solivella,1,3
Vallfogona de Riucorb,0,1
Vilanova de Prades,1,0
Vilaverd,1,0
Vimbodí i Poblet,5,0
Canyelles,21,7
Cubelles,42,23
Olivella,6,1
Sant Pere de Ribes,102,56
Sitges,104,53
Vilanova i la Geltrú,272,157
Arbeca,4,3
Bellaguarda,0,7
Bovera,1,0
Castelldans,4,0
Cervià de les Garrigues,3,1
El Cogul,1,1
El Vilosell,1,3
Els Omellons,0,1
Fulleda,1,0
Juncosa,3,0
Juneda,20,15
La Floresta,1,0
La Granadella,4,2
La Pobla de Cérvoles,1,0
l'Albagés,3,0
Les Borges Blanques,13,7
Puiggròs,1,1
Vinaixa,1,0
Besalú,8,6
Castellfollit de la Roca,1,2
La Vall de Bianya,7,5
La Vall d'En Bas,11,7
Les Planes d'Hostoles,2,4
Les Preses,5,11
Maià de Montcal,1,2
Mieres,3,0
Montagut i Oix,1,2
Olot,118,157
Riudaura,2,2
Sant Feliu de Pallerols,5,2
Sant Ferriol,0,1
Sant Jaume de Llierca,3,5
Sant Joan Les Fonts,20,13
Santa Pau,2,1
Tortellà,2,3
Aiguaviva,1,4
Bescanó,18,17
Bordils,4,4
Campllong,1,1
Canet d'Adri,4,1
Cassà de la Selva,35,28
Celrà,23,12
Cervià de Ter,6,4
Flaçà,2,2
Fornells de la Selva,10,13
Girona,548,414
Juià,1,0
Llagostera,32,20
Llambilles,2,2
Madremanya,1,0
Quart,17,6
Salt,130,107
Sant Andreu Salou,1,0
Sant Gregori,29,19
Sant Joan de Mollet,0,1
Sant Jordi Desvalls,2,4
Sant Julià de Ramis,15,13
Sant Martí de Llémena,5,1
Sant Martí Vell,1,0
Sarrià de Ter,19,21
Vilablareix,13,12
Alella,49,41
Arenys de Mar,73,42
Arenys de Munt,43,25
Argentona,43,40
Cabrera de Mar,17,9
Cabrils,39,17
Caldes d'Estrac,12,8
Calella,40,24
Canet de Mar,84,14
Dosrius,28,10
El Masnou,114,70
Malgrat de Mar,41,18
Mataró,600,318
Montgat,78,43
Palafolls,11,8
Pineda de Mar,91,20
Premià de Dalt,39,28
Premià de Mar,114,95
Sant Andreu de Llavaneres,48,28
Sant Cebrià de Vallalta,7,1
Sant Iscle de Vallalta,3,1
Sant Pol de Mar,18,12
