"id","name","cases","value"
001,Agramunt,8,12.1
002,Alcarràs,23,16.7
003,Alfarràs/Almenar,24,23.7
004,Amposta,22,8
005,Anglès,22,17.2
007,Aran,63,75.1
008,Arbúcies/Sant Hilari,54,41.3
009,Arenys de Mar,95,35.3
010,Argentona,55,32.5
011,Artés,26,22.4
012,Artesa de Segre,3,6.8
013,El Vendrell,122,26.2
014,Balaguer,135,41.7
015,Banyoles,87,26.9
016,Barcelona 1A - Barceloneta,27,17.7
017,Barcelona 1B - Casc Antic,38,19.7
018,Barcelona 1C - Gòtic,31,20.2
019,Barcelona 1D - Raval Sud,57,22.1
020,Barcelona 1E - Raval Nord-Dr. Sayé,47,22.2
021,Barcelona 2A - Sant Antoni,165,44.1
022,Barcelona 2B - Via Roma,141,42.8
023,Barcelona 2C- Esq.Eix.-Comte Borrell,151,40.9
024,Barcelona 2D - Universitat,75,35.3
025,Barcelona 2E - Esq.Eixample-Casanova,115,32.2
027,Barcelona 2G - Dreta Eixample,105,41.9
028,Barcelona 2H - Passeig Sant Joan,84,30
029,Barcelona 2I - Sagrada Família,111,48.9
030,Barcelona 2J - Monumental,101,33.7
031,Barcelona 2K - Sagrada Família,123,43.5
032,Barcelona 3A - Les Hortes-Poble Sec,72,31.9
033,Barcelona 3B - Poble Sec-Montjuïc,100,37.9
034,Barcelona 3C - Dr. Carles Riba,89,54.4
035,Barcelona 3D - Bordeta,140,41.4
036,Barcelona 3E - Sants,94,42.7
038,Barcelona 3G - Numància,89,34.4
039,Barcelona 4A - Montnegre,119,37.4
040,Barcelona4B - Les Corts-Pedralbes,57,25.2
041,Barcelona 4C - Les Corts-Helios,105,30.5
042,Barcelona 5A - Marc Aureli,66,21.6
043,Barcelona 5B - Sant Elies,84,22.6
044,Barcelona  5C - Sarrià,74,25.9
045,Barcelona 5D-Vallvidrera-Les Planes,56,27.6
046,Barcelona 5E - Sant Gervasi,89,24.1
047,Barcelona 6A - Joanic,152,46.6
048,Barcelona 6B - Vila de Gràcia,103,38.4
049,Barcelona 6C - Lesseps,100,41.4
050,Barcelona6D - Vallcarca,60,26.1
051,Barcelona 7A - Sanllehy,122,50.7
052,Barcelona 7B - Sardenya,101,44.4
053,Barcelona 7C - El Carmel,106,50
054,Barcelona  7D - Lisboa,176,57.3
055,Barcelona 7E - Sant Rafael,229,65.2
056,Barcelona 7F - Lisboa,151,64.2
059,Barcelona 8C - Turó de la Peira,152,57.2
062,Barcelona 8F - Guineueta,189,60.8
063,Barcelona 8G - Roquetes,127,76.9
064,Barcelona  8H - Ciutat Meridiana,74,49.8
065,Barcelona 9A - Sagrera,137,37.3
067,Barcelona 9C - Congrés,198,51.6
069,Barcelona 9E - Bon Pastor,71,48.8
070,Barcelona 9F - Via Barcino,70,73.8
071,Barcelona 10A - Vila Olímpica,93,25.2
072,Barcelona 10B - Ramon Turró,82,29.3
073,Barcelona 10C - Poble Nou,80,34
074,Barcelona 10D - Besòs,84,30.1
075,Barcelona 10E - Encants,102,52.1
076,Barcelona 10F - Camp de l'Arpa,143,53.8
077,Barcelona 10G - El Clot,85,32.9
078,Barcelona 10H - Sant Martí,74,32
079,Barcelona 10I - La Pau,58,42.3
080,Bàscara,8,16.3
081,Bellpuig,7,10.3
082,Berga,89,37.1
083,Besalú,19,27.9
084,La Bisbal d'Empordà,15,8.7
085,Blanes,86,21.5
086,Les Borges Blanques,34,20.8
087,Les Borges del Camp,14,21.8
088,Calaf,15,18.8
089,Caldes de Montbui,74,31.1
090,Calella,38,19.4
091,Cambrils,69,21.8
092,Camprodon,3,8.5
093,Canet de Mar,43,18.3
095,Cardedeu,56,27.9
096,Cardona,42,75.2
097,Castellar del Vallès,142,55.1
098,Montserrat,22,16.9
100,Cassà de la Selva,80,25.4
101,Celrà,19,19.9
102,Centelles,60,49.2
103,La Cerdanya,30,18.3
104,Cerdanyola del Vallès 1 - Serraparera,102,40.6
105,Cerdanyola del Vallès 2 - Canaletes-Fontetes,145,61.7
106,Cervera,91,44
107,Constantí,11,20.2
108,Cornellà de Llobregat 1 - Martí Julià,99,31.2
109,Cornellà de Llobregat 2 - St Ildefons,69,25.9
110,Cornellà de Llobregat 3 - Gavarra,48,32
111,Cornellà de Llobregat 4 -Jaume Soler,53,30
112,Cornudella de Montsant,3,9.6
113,Deltebre,3,1.5
114,L'Escala,19,11.9
115,Esparraguera,63,24.5
116,Esplugues de Llobregat 1-Can Vidalet,59,30.9
117,Esplugues de Llobregat 2 - Lluís Millet,91,30.1
118,Falset,3,4.4
119,Figueres,83,18.1
120,Flix,5,6.6
121,La Garriga,89,29.3
122,Gavà 1,128,66.6
123,Gavà 2,145,57
124,Girona 1 - Santa Clara,82,35.4
125,Girona 2 - Can Gibert del Pla,123,41
126,Girona 3 - Montilivi,162,46.7
127,Girona 4 - Taialà,61,41.8
128,Baix Berguedà,25,19.1
129,La Granadella,10,29.8
