"min","max","positive","negative"
0,9,363,39
10,19,305,107
20,29,2329,902
30,39,3239,1478
40,49,3592,2255
50,59,3087,2599
60,69,1811,2425
70,79,1552,2747
80,89,1565,1971
NaN,NaN,460,457
