"id","name","cases","value"
169,Alt Urgell-Sud,11,20.8
171,Olot,171,41.6
172,Palafrugell,89,29.3
173,Palamós,61,20.4
174,Pallars Sobirà,13,19.2
175,Parets del Vallès,101,62.6
176,Penedès Rural,53,15.5
177,Peralada,12,16.1
178,L'Ametlla de Mar - El Perelló,1,0.7
179,La Pobla de Segur,51,97.6
180,Alta Ribagorça,5,13.5
181,Ponts,6,16.4
182,El Prat de Llobregat 1 - Ramona Via,121,53.8
183,El Prat de Llobregat 2 - Sant Cosme I,211,66.7
184,El Prat de Llobregat 3 - Dr. Pujol Capçada,61,52.7
185,Lluçanès,13,18.5
186,Premià de Mar,119,30.2
187,Ripoll-Sant Joan de les Abadesses,48,28.9
188,Riudoms,17,13.6
189,Roses,35,10.6
190,Sabadell 1A - Centre,154,45
191,Sabadell 1B - Sant Oleguer,121,52.9
192,Sabadell 2 - Creu Alta,112,44.9
193,Sabadell 3A - Ca n'Oriac,175,85.8
194,Sabadell 3B - Nord,83,50.3
196,Sabadell  5 - Gràcia-Merinals,92,48.1
197,Sabadell 6 - Sud,188,61.6
198,Sabadell 7 - La Serra,37,45.2
199,Salt,146,40.2
200,Sallent,22,29.1
201,Sant Andreu de La Barca,82,33.4
202,Sant Boi de Llobregat 1 - Montclar,163,42.8
203,Sant Boi de Llobregat 2 - Molí Nou,77,35.4
204,Sant Boi de Llobregat 3 - Camps Blancs,65,57.9
205,Sant Boi de Llobregat 4 - Vinyets,77,35.5
206,Sant Carles de La Ràpita,7,2.8
207,Sant Celoni,68,20.3
208,Sant Feliu de Guíxols,44,12.3
209,Sant Feliu de Llobregat 1 - El Pla,25,14
210,Sant Feliu de Llobregat 2 - Rambla,56,21.1
211,Navarcles - Sant Fruitós de Bages,70,30.1
212,Sant Hipòlit de Voltregà,38,53.4
213,Sant Joan Despí 1,35,20
214,Sant Joan Despí 2 - Les Planes,28,20.2
215,Sant Joan de Vilatorrada,62,47.1
216,Sant Just Desvern,61,33.2
217,Sant Quirze de Besora,19,32.8
218,Sant Sadurní d'Anoia,48,21.5
219,Sant Vicenç de Castellet,39,25.4
221,Santa Coloma de Farners,49,31.6
222,Santa Coloma de Gramenet 1 - Can Mariner,104,44.3
223,Santa Coloma de Gramenet 2 - Llatí,83,55.7
224,Santa Coloma de Gramenet 3 - Singuerlín,150,76.1
225,Santa Coloma de Gramenet 4-Riu Nord-Riu Sud,147,60
226,Santa Coloma de Gramenet  5 - Santa Rosa,84,41.6
228,Santa Coloma de Queralt,9,19.8
229,Santa Margarida de Montbui,75,80.1
230,Santa Perpètua de la Mogoda,90,39.8
231,Sarrià de Ter,49,37.5
232,Seròs,15,17.6
233,La Seu d'Urgell,31,18.1
234,Sils/Vidreres/Maçanet de la Selva,43,20.2
235,Sitges,50,18.5
236,El Solsonès,10,8.3
237,Súria,18,18.3
238,Santa Eugènia de Berga,83,46.7
239,Tarragona 1 - Bonavista-La Canonja,17,12.6
240,Tarragona 2 - La Granja-Torreforta,32,13.4
241,Tarragona 3 - Jaume I,48,14.7
242,Tarragona 4,12,7.1
243,Tarragona 5 - Sant Pere i Sant Pau,20,13.1
244,Tarragona 6 - Tarragonès,43,21.6
245,Tàrrega,81,33
246,Terra Alta,6,4.9
247,Terrassa A - Sant Llàtzer,225,51.5
248,Terrassa B - Est,97,43.1
249,Terrassa C - Antoni Creus,31,28.6
250,Terrassa D - Oest,128,43
251,Terrassa E - Rambla,253,39.7
252,Terrassa F - Nord,207,50.7
253,Tona,47,37
254,Vall del Ges,69,36
255,Tortosa 1 Est - El Temple,22,9.1
256,Tortosa 2 - Oest,29,12
257,Torredembarra,51,13.9
258,Torroella de Montgrí,8,5.3
259,Tremp,16,17.1
260,Ulldecona,3,2.4
261,Vallirana,48,20.6
262,Alt Camp Est,16,13.1
263,Valls Urbà,39,14.4
265,Viladecans 1,125,56
266,Viladecans 2,148,69.9
267,Vilafant,36,25.1
269,Vilanova del Camí,85,72.7
271,Vilassar de Mar,66,25.2
272,Badalona 1 - Martí i Julià,69,52.5
273,Badalona 2 - Centre-Dalt la Vila,70,38
274,Badalona 3 - Progrés-Raval,101,48.6
275,Badalona 4 - Gorg,41,31.3
276,Badalona 5 - Sant Roc,68,39.7
277,Badalona 6 - Llefià,137,53
279,Badalona 8 - Nova Lloreda,60,37.8
