"name","negative","positive"
Alcover,0,0
Aiguamúrcia,6,0
Alcover,10,0
Alió,1,0
Bràfim,4,1
Cabra del Camp,3,0
El Milà,1,0
El Pla de Santa Maria,3,2
El Pont d'Armentera,1,2
Els Garidells,1,0
Figuerola del Camp,4,0
La Masó,2,0
Montferri,0,1
Mont-Ral,0,1
Nulles,2,0
Puigpelat,2,0
Rodonyà,0,2
Vallmoll,4,1
Valls,115,37
Vilabella,3,4
Vila-Rodona,3,2
Agullana,0,2
Avinyonet de Puigventós,7,4
Bàscara,1,0
Biure,1,0
Borrassà,2,3
Cabanelles,1,0
Cabanes,4,0
Cadaqués,6,5
Capmany,3,7
Castelló d'Empúries,20,9
Cistella,1,0
Colera,1,0
Darnius,2,0
El Far d'Empordà,1,2
El Port de la Selva,1,1
Espolla,1,0
Figueres,186,66
Fortià,3,0
Garriguella,2,1
La Jonquera,5,2
L'Armentera,3,2
L'Escala,18,9
Lladó,6,1
Llançà,13,3
Llers,5,2
Maçanet de Cabrenys,2,1
Masarac,0,2
Navata,7,1
Ordis,2,1
Palau-Saverdera,6,3
Pau,1,0
Peralada,6,1
Pont de Molins,2,0
Portbou,0,1
Rabós,1,1
Riumors,2,0
Roses,32,12
Sant Climent Sescebes,3,1
Sant Miquel de Fluvià,3,3
Sant Pere Pescador,1,5
Santa Llogaia d'Àlguema,1,0
Saus Camallera i Llampaies,1,3
Siurana,2,0
Terrades,1,6
Torroella de Fluvià,2,0
Ventalló,5,0
Vilabertran,1,0
Vilafant,24,14
Vilajuïga,4,3
Vilamalla,7,0
Vilamaniscle,1,0
Vilanant,2,1
Vila-Sacra,3,1
Vilaür,1,1
Avinyonet del Penedès,6,6
Castellet i la Gornal,5,2
Castellví de la Marca,1,0
El Pla del Penedès,5,0
Font-Rubí,6,4
Gelida,23,16
La Granada,6,5
Les Cabanyes,5,1
Mediona,12,14
Olèrdola,14,0
Olesa de Bonesvalls,9,0
Pacs del Penedès,2,2
Puigdàlber,3,1
Sant Cugat Sesgarrigues,0,3
Sant Llorenç d'Hortons,10,9
Sant Martí Sarroca,9,4
Sant Pere de Riudebitlles,5,2
Sant Quintí de Mediona,8,3
Sant Sadurní d'Anoia,33,17
Santa Fe del Penedès,2,0
Santa Margarida i els Monjos,15,13
Subirats,14,4
Torrelavit,6,4
Torrelles de Foix,2,2
Vilafranca del Penedès,130,67
Vilobí del Penedès,1,2
Alàs i Cerc,1,0
Bassella,1,1
La Seu d'Urgell,35,24
Montferrer i Castellbò,1,2
Oliana,8,8
Organyà,3,1
Ribera d'Urgellet,3,1
El Pont de Suert,3,3
La Vall de Boí,1,1
Vilaller,0,1
Argençola,3,0
Cabrera d'Anoia,5,4
Calaf,14,9
Calonge de Segarra,0,1
Capellades,19,39
Carme,7,5
Castellfollit de Riubregós,0,2
Castellolí,9,4
Copons,4,0
El Bruc,8,6
Els Hostalets de Pierola,22,13
Els Prats de Rei,1,1
Igualada,612,280
Jorba,10,5
La Llacuna,8,3
La Pobla de Claramunt,24,13
La Torre de Claramunt,18,23
Masquefa,33,18
Montmaneu,2,1
Òdena,31,18
Orpí,0,1
Piera,84,61
Sant Martí de Tous,20,4
Sant Martí Sesgueioles,1,1
Santa Margarida de Montbui,101,72
Santa Maria de Miralles,1,1
Vallbona d'Anoia,12,7
Veciana,1,0
Vilanova del Camí,113,82
Bossòst,7,12
Es Bòrdes,1,0
Les,3,1
Naut Aran,2,2
Vielha e Mijaran,32,43
Vilamòs,0,1
Aguilar de Segarra,1,1
Artés,14,12
Avinyó,8,1
Balsareny,7,5
Callús,10,3
Cardona,21,37
Castellbell i el Vilar,4,5
Castellfollit del Boix,2,0
Castellgalí,8,7
Castellnou de Bages,4,0
El Pont de Vilomara i Rocafort,3,8
Fonollosa,2,3
Manresa,247,189
Marganell,2,0
Monistrol de Montserrat,14,3
Mura,1,0
Navarcles,19,23
Navàs,13,19
Rajadell,0,1
Sallent,12,20
Sant Feliu Sasserra,2,0
Sant Fruitós de Bages,23,19
Sant Joan de Vilatorrada,24,50
Sant Mateu de Bages,4,1
Sant Salvador de Guardiola,11,6
Sant Vicenç de Castellet,23,13
Santpedor,24,18
Súria,19,14
Alforja,6,2
Almoster,5,4
Arbolí,0,1
Botarell,3,1
Cambrils,95,44
Castellvell del Camp,8,2
Colldejou,1,0
Duesaigües,0,1
La Selva del Camp,15,4
l'Albiol,3,0
L'Aleixar,3,4
Les Borges del Camp,6,0
Maspujols,1,1
Montbrió del Camp,7,1
Mont-Roig del Camp,16,9
Prades,3,0
Pratdip,2,0
Reus,313,142
Riudecanyes,1,1
Riudoms,15,5
Vandellòs i l'Hospitalet de l'Infant,11,7
Vilanova d'Escornalbou,0,2
Vilaplana,1,3
Vinyols i  els Arcs,4,1
Aldover,2,1
Benifallet,3,1
Camarles,3,2
Deltebre,32,2
El Perelló,4,0
l'Aldea,9,1
L'Ametlla de Mar,14,1
L'Ampolla,4,4
Roquetes,30,5
Tivenys,1,0
Tortosa,158,42
Xerta,6,1
Albons,1,1
Begur,9,2
Bellcaire d'Empordà,0,1
Calonge i Sant Antoni,46,12
Castell-Platja d'Aro,23,8
Corçà,3,1
Cruïlles Monells i Sant Sadurní de l'Heura,2,1
Jafre,1,0
La Bisbal d'Empordà,36,7
La Pera,4,0
La Tallada d'Empordà,1,0
Mont-Ras,7,4
Palafrugell,91,56
Palamós,121,47
Palau-Sator,0,2
Pals,6,0
Parlavà,1,1
Regencós,0,1
Rupià,1,1
Sant Feliu de Guíxols,67,25
Santa Cristina d'Aro,11,6
Torrent,1,1
Torroella de Montgrí,22,4
Ullà,4,1
Ullastret,0,1
