"id","name","cases","value"
001,Agramunt,6,9
002,Alcarràs,22,15.8
003,Alfarràs/Almenar,23,22.7
004,Amposta,21,7.6
005,Anglès,19,14.8
007,Aran,59,70.1
008,Arbúcies/Sant Hilari,45,34.1
009,Arenys de Mar,54,20.8
010,Argentona,49,29
011,Artés,19,15.8
012,Artesa de Segre,2,4.4
013,El Vendrell,73,15.4
014,Balaguer,134,41.6
015,Banyoles,82,25.4
016,Barcelona 1A - Barceloneta,23,14.9
017,Barcelona 1B - Casc Antic,39,19.8
018,Barcelona 1C - Gòtic,28,18.2
019,Barcelona 1D - Raval Sud,51,20.6
020,Barcelona 1E - Raval Nord-Dr. Sayé,47,21.9
021,Barcelona 2A - Sant Antoni,154,41.4
022,Barcelona 2B - Via Roma,132,40.1
023,Barcelona 2C- Esq.Eix.-Comte Borrell,149,40.9
024,Barcelona 2D - Universitat,72,34.2
025,Barcelona 2E - Esq.Eixample-Casanova,108,30.2
027,Barcelona 2G - Dreta Eixample,80,33.6
028,Barcelona 2H - Passeig Sant Joan,74,26.1
029,Barcelona 2I - Sagrada Família,92,40.7
030,Barcelona 2J - Monumental,93,31.1
031,Barcelona 2K - Sagrada Família,101,35.5
032,Barcelona 3A - Les Hortes-Poble Sec,66,29.1
033,Barcelona 3B - Poble Sec-Montjuïc,90,33.7
034,Barcelona 3C - Dr. Carles Riba,81,49.2
035,Barcelona 3D - Bordeta,137,40.4
036,Barcelona 3E - Sants,89,40.5
038,Barcelona 3G - Numància,78,30.3
039,Barcelona 4A - Montnegre,103,31.9
040,Barcelona4B - Les Corts-Pedralbes,56,24.5
041,Barcelona 4C - Les Corts-Helios,97,27.8
042,Barcelona 5A - Marc Aureli,64,20.9
043,Barcelona 5B - Sant Elies,78,21
044,Barcelona  5C - Sarrià,72,25
045,Barcelona 5D-Vallvidrera-Les Planes,54,26.5
046,Barcelona 5E - Sant Gervasi,83,22.6
047,Barcelona 6A - Joanic,139,42.9
048,Barcelona 6B - Vila de Gràcia,103,38.2
049,Barcelona 6C - Lesseps,85,35.9
050,Barcelona6D - Vallcarca,59,25.7
051,Barcelona 7A - Sanllehy,105,44.1
052,Barcelona 7B - Sardenya,89,39.2
053,Barcelona 7C - El Carmel,87,40.9
054,Barcelona  7D - Lisboa,158,51.5
055,Barcelona 7E - Sant Rafael,203,57.9
056,Barcelona 7F - Lisboa,137,58.3
059,Barcelona 8C - Turó de la Peira,128,48.2
062,Barcelona 8F - Guineueta,173,55.5
063,Barcelona 8G - Roquetes,112,68.6
064,Barcelona  8H - Ciutat Meridiana,62,42.9
065,Barcelona 9A - Sagrera,118,32.1
067,Barcelona 9C - Congrés,181,47.1
069,Barcelona 9E - Bon Pastor,65,44.2
070,Barcelona 9F - Via Barcino,66,68.6
071,Barcelona 10A - Vila Olímpica,84,22.8
072,Barcelona 10B - Ramon Turró,78,28
073,Barcelona 10C - Poble Nou,76,32.4
074,Barcelona 10D - Besòs,75,26.6
075,Barcelona 10E - Encants,88,44.6
076,Barcelona 10F - Camp de l'Arpa,120,44.6
077,Barcelona 10G - El Clot,70,27
078,Barcelona 10H - Sant Martí,68,29.3
079,Barcelona 10I - La Pau,50,37
080,Bàscara,8,16.3
081,Bellpuig,6,9.1
082,Berga,74,30.9
083,Besalú,18,26.1
084,La Bisbal d'Empordà,14,8.1
085,Blanes,52,13
086,Les Borges Blanques,29,18.3
087,Les Borges del Camp,11,16.7
088,Calaf,14,17.4
089,Caldes de Montbui,68,28.7
090,Calella,24,12.2
091,Cambrils,37,11.7
092,Camprodon,4,10
093,Canet de Mar,26,11.3
095,Cardedeu,52,25.6
096,Cardona,38,67
097,Castellar del Vallès,134,52.1
098,Montserrat,21,15.9
100,Cassà de la Selva,69,22.1
101,Celrà,18,18.8
102,Centelles,57,47.1
103,La Cerdanya,27,16.7
104,Cerdanyola del Vallès 1 - Serraparera,104,41.5
105,Cerdanyola del Vallès 2 - Canaletes-Fontetes,139,58.1
106,Cervera,75,36.1
107,Constantí,7,13.6
108,Cornellà de Llobregat 1 - Martí Julià,73,22.7
109,Cornellà de Llobregat 2 - St Ildefons,36,13.6
110,Cornellà de Llobregat 3 - Gavarra,27,18.3
111,Cornellà de Llobregat 4 -Jaume Soler,32,18.1
112,Cornudella de Montsant,2,7.6
113,Deltebre,2,1
114,L'Escala,18,11.2
115,Esparraguera,64,24.7
116,Esplugues de Llobregat 1-Can Vidalet,32,16.7
117,Esplugues de Llobregat 2 - Lluís Millet,60,20.4
118,Falset,2,2.5
119,Figueres,69,15
120,Flix,5,5.6
121,La Garriga,76,25.3
122,Gavà 1,102,52.6
123,Gavà 2,120,47.1
124,Girona 1 - Santa Clara,83,35.5
125,Girona 2 - Can Gibert del Pla,120,39.9
126,Girona 3 - Montilivi,141,40.8
127,Girona 4 - Taialà,58,39.2
128,Baix Berguedà,23,17.4
129,La Granadella,9,28.2
130,Alt Berguedà,21,33.5
131,Anoia Rural,55,50.7
133,La Jonquera,12,17
134,Llançà,5,6.4
135,Lleida 1 Centre Històric-Rambla Ferran,32,17.6
136,Lleida 2 Primer de Maig,69,24.6
137,Lleida 3 Eixample,69,30
138,Lleida 4 Balàfia - Pardinyes,83,33.6
139,Lleida 5 Cappont,36,23.8
140,Lleida 6 Bordeta - Magraners,33,22.6
141,Lleida Rural 1 - Nord,39,16.9
142,Lloret de Mar,53,13.5
143,Malgrat de Mar,20,7.5
144,Manlleu,94,46.7
145,Manresa 1,41,18.4
146,Manresa 2 - Plaça Catalunya,46,19.5
147,Manresa 3,34,22.6
148,Manresa 4 - Sagrada Família,61,26.3
149,Martorell Urbà,110,40.8
150,Martorelles,51,34.3
152,Mataró 6 - Ronda Gatass,54,26.5
153,Mataró  2 - Centre,36,20.8
154,Mataró  3 - Rocafonda,32,18
155,Mataró 4 - Cirera Molins,51,23
156,Mataró 5 - Ronda Cerdanya,43,20.3
157,Mataró 6 - Ronda Gatassa,26,18.6
158,Mataró 7 - Ronda Prim,29,19.8
159,Moià,14,12.4
160,Molins de Rei,37,12.6
161,Pla d'Urgell,58,15.1
162,Montblanc,18,10.7
163,Mont-Roig del Camp,10,7.7
164,Montornès / Montmeló,143,48.1
165,Móra la Nova - Móra d'Ebre,5,3.2
166,El Morell,12,11.2
167,Navàs/Balsareny,24,22.4
168,Olesa de Montserrat,105,47.8
169,Alt Urgell-Sud,10,17.6
171,Olot,159,38.6
172,Palafrugell,63,21
173,Palamós,60,20
174,Pallars Sobirà,13,19.2
175,Parets del Vallès,101,62.8
176,Penedès Rural,46,13.6
177,Peralada,9,11.9
178,L'Ametlla de Mar - El Perelló,1,0.7
179,La Pobla de Segur,50,94.4
180,Alta Ribagorça,5,13.5
181,Ponts,5,13.4
182,El Prat de Llobregat 1 - Ramona Via,120,53.3
183,El Prat de Llobregat 2 - Sant Cosme I,202,63.9
184,El Prat de Llobregat 3 - Dr. Pujol Capçada,60,51.9
185,Lluçanès,12,17
186,Premià de Mar,107,27.3
